Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
65,25,BaehlerK,8,16,1,16,-33,83,60,1.38333333333,35,0,0.416666666667,116,81,1.43209876543,38,0.563218390805,-3,0.416666666667,0.979885057471,0.563218390805,1,1,4,15,R Frontier Div 2,18,Frontier,KrizelJ
65,25,BahnamanS,12,7,6,30,27,188,134,1.40298507463,5,0,0.893333333333,161,116,1.38793103448,17,0.716666666667,-12,0.893333333333,1.61,0.716666666667,1,0,17,3,A Frontier,4,Corridor,Mizrahi
65,25,BahngBoyerB,9,14,2,13,-25,113,83,1.36144578313,14,0,0.768518518519,138,97,1.42268041237,32,0.594936708861,-18,0.768518518519,1.36345522738,0.594936708861,1,7,10,7,A Midland,23,Midland,IracaneR
65,25,BaicyK,8,17,0,16,-43,37,35,1.05714285714,24,0,0.233333333333,80,64,1.25,33,0.663265306122,-9,0.233333333333,0.896598639456,0.663265306122,0,0,1,23,R Metro Div 2,27,Metro,O'Mahoney-SchwartzD
65,25,BaileyBW,8,15,2,18,-22,136,105,1.29523809524,18,0,0.7,158,110,1.43636363636,28,0.6,-10,0.7,1.3,0.6,0,0,13,6,A Sequoia,22,Sequoia,FryedBetaKappa
65,25,BaileyM,1,24,0,-22,-78,4,3,1.33333333333,2,0,0.5,82,51,1.60784313725,41,0.422535211268,-39,0.5,0.922535211268,0.422535211268,0,24,0,0,R Metro Div 1,33,Metro,EtterT
65,25,BaileyP,9,14,2,19,-11,81,66,1.22727272727,32,0,0.458333333333,92,71,1.29577464789,33,0.652631578947,-1,0.458333333333,1.11096491228,0.652631578947,1,1,7,17,D Frontier Div 2,23,Frontier,BurgerM
65,25,BainD,15,6,4,34,36,89,64,1.390625,40,0,0.426666666667,53,45,1.17777777778,24,0.688311688312,16,0.426666666667,1.11497835498,0.688311688312,2,0,9,20,E Sequoia Div 2,5,Sequoia,TanJ
65,25,BainG,9,11,5,23,4,88,69,1.27536231884,33,0,0.46,84,59,1.42372881356,40,0.550561797753,-7,0.46,1.01056179775,0.550561797753,1,0,9,16,E Coastal Div 2,15,Coastal,ReynaldoA
65,25,BajczA,8,14,3,19,-20,65,52,1.25,34,0,0.346666666667,85,71,1.19718309859,26,0.726315789474,8,0.346666666667,1.07298245614,0.726315789474,1,0,5,12,D Metro Div 2,23,Metro,JankowskiE
65,25,BakerA,13,9,3,26,-8,78,66,1.18181818182,23,0,0.5,86,60,1.43333333333,43,0.542553191489,-20,0.5,1.04255319149,0.542553191489,0,3,8,11,D Seaboard Div 1,10,Seaboard,CorbblahJ
